prompt,model_answer,predict_proba
Какой год указан в заголовке книги Б. Ф. Инфантьева «Русский язык в национальной школе Латвии: исторический очерк»?,В заглавии книги Б. Ф. Инфантьева «Русский язык в национальной школе Латвии: исторический очерк» не указан конкретный год издания.,0.6297875962639841
"Какой степени бакалавра в области психологии добилась Натали Портман, окончив Гарвард в июне 2003 года?","Натали Портман получила степень бакалавра в области психологии, окончив Гарвардский университет в июне 2003 года.",0.0046237872642652
"Кто использовал автомобиль, раскрашенный в бело-зеленые цвета сибирского флага, в период существования Сибирской республики?","Автомобиль, раскрашенный в бело-зеленые цвета сибирского флага, использовался в период существования Сибирской республики в качестве символа и средства передвижения для представителей сибирских властей и лидеров движения за независимость Сибири.",0.9809659683397232
"Какое слово, означающее «хлеб» во фригийском языке, было первым произнесено младенцами в «лингвистическом эксперименте» фараона Псамметиха I?","В «лингвистическом эксперименте» фараона Псамметиха I, который был описан Геродотом, младенцы произнесли слово «bekos», что означает «хлеб» на фригийском языке.",0.93570226899548
Кто из лордов-апеллянтов удалился в свои имения после 1392 года?,"После 1392 года в свои владения удалились следующие лорды-апеллянты:

1. Ричард II — он был свергнут с престола и умер в заключении в 1400 году.
2. Генри Болингброк — он стал королём Генрихом IV и правил до своей смерти в 1413 году.
3. Томас Моубрей — он был одним из главных участников восстания против Ричарда II и позже участвовал в восстании против Генриха IV. Он был казнён в 1400 году.
4. Эдмунд Мортимер — он также был участником восстания против Ричарда II и позже против Генриха IV. Он умер в 1425 году.

Эти лорды были ключевыми фигурами в политической борьбе за власть в Англии в конце XIV и начале XV веков.",0.0473523891884279
"Кто, согласно Диодору Сицилийскому, отобрал у Кратесиполиды Сикион и Коринф во время отсутствия Полиперхона?","Согласно Диодору Сицилийскому, Антигон Одноглазый отобрал у Кратесиполиды Сикион и Коринф во время отсутствия Полиперхона.",0.0631521309178594
В каком журнале впервые был опубликован рассказ Говарда Филлипса Лавкрафта «Цвет из иных миров»?,Рассказ Говарда Филлипса Лавкрафта «Цвет из иных миров» («The Colour Out of Space») впервые был опубликован в журнале Weird Tales в 1927 году.,0.0001112157469818
В каком году вышел первый самостоятельный сборник стихов Лены Шагирзян под названием «Мөлдерәмә күңел»?,Первый самостоятельный сборник стихов Лены Шагирзян под названием «Мөлдерәмә күңел» был опубликован в 2015 году.,0.0124262252444151
Кто возглавил церемонию открытия Соловецкого камня в Москве в 1990 году?,Церемонию открытия Соловецкого камня в Москве в 1990 году возглавил Борис Николаевич Ельцин — первый Президент Российской Федерации.,0.1104517168543878
Сколько членов в Законодательном собрании Нунавута?,В Законодательном собрании Нунавута 19 членов.,0.0147599754404522
Какой народ использовал сходство фламинго с фениксом для торговли их кожами?,"Для ответа на этот вопрос необходимо рассмотреть исторический контекст и культурные особенности народов, которые могли бы использовать символику феникса в своих торговых практиках. Феникс — мифическая птица, символизирующая возрождение и бессмертие, часто ассоциируется с восточными культурами, такими как китайская и японская. Однако, учитывая географическое положение и торговые пути, можно предположить, что речь идет о народах, проживающих в регионах, где пересекались различные культуры и торговые маршруты.

Одним из таких народов могут быть монголы или другие кочевые племена Центральной Азии, которые активно участвовали в торговле по Великому шелковому пути. Они были известны своими торговыми связями с различными регионами, включая Китай, Индию и Ближний Восток. В их культуре также присутствовали элементы мифологии и символизма, которые могли включать образы птиц, подобных фениксу.

Таким образом, можно предположить, что именно монголы использовали сходство фламинго с фениксом для торговли их кожами, так как они имели широкие торговые связи и могли интегрировать такие символы в свои торговые практики.",0.3854052875293033
Кто опубликовал полную библиографию работ Карла Шварцшильда в 1917 году?,Полная библиография работ Карла Шварцшильда была опубликована в 1917 году немецким астрономом и физиком Максом Вольфом.,0.1887135070558932
Кто возглавлял оборону Иотапаты во время осады Веспасианом в 67 году?,"Во время осады Иотапаты римским полководцем Веспасианом в 67 году нашей эры обороной города руководил Иосиф бен Матитьяху, известный также как Иосиф Флавий. Он был еврейским священником и историком, который впоследствии стал известен благодаря своим трудам о еврейской истории и восстании против Рима.",0.0267738062474047
"Какой фильм, снятый во второй половине 1960-х годов, стал для Владимира Высоцкого ролями танкиста?","Фильм, в котором Владимир Высоцкий сыграл роль танкиста, называется «Я — сын партии».",0.990615848676158
Сколько uORF содержится в 5'-нетранслируемой области мРНК гена YAP2 дрожжей S. cerevisiae?,В 5'-нетранслируемой области (5'-UTR) мРНК гена YAP2 у дрожжей Saccharomyces cerevisiae содержится один uORF (untranslated open reading frame).,0.0888356556084635
Какая частота вспышек новых звёзд в галактике M 32 оценивается астрономами?,"## Частота вспышек новых звёзд в галактике M 32

### Общая информация о галактике M 32

Галактика **M 32** — это карликовая эллиптическая галактика, расположенная рядом с нашей Галактикой Млечный Путь. Она является спутником галактики Андромеды и известна своей компактной структурой и высокой плотностью звездного населения. 

### Оценка частоты вспышек новых звёзд

Астрономы оценивают частоту вспышек новых звёзд в галактике M 32 на уровне примерно **одна новая звезда каждые несколько тысяч лет**. Это значительно ниже, чем в более активных спиральных галактиках, таких как наша собственная или галактика Андромеды, где новые звезды могут появляться чаще из-за наличия большого количества межзвездного газа и пыли, которые способствуют формированию новых звёзд.

### Причины низкой частоты вспышек новых звёзд в M 32

1. **Низкая плотность звёзд**: В отличие от спиральных галактик, где звёзды распределены неравномерно и часто взаимодействуют друг с другом, в M 32 звёзды расположены гораздо плотнее, что снижает вероятность столкновений и формирования новых звёзд.
   
2. **Отсутствие межзвёздного газа и пыли**:",0.0667551987562852
"Кто, согласно античной традиции, был первым изобретателем осадных орудий, использовавшихся афинянами во время Самосской войны?","Согласно античной традиции, первым изобретателем осадных орудий, использовавшихся афинянами во время Самосской войны, был Архимед.",0.0762718069972875
Когда производство модели Atari 1200XL было прекращено?,Производство модели Atari 1200XL было прекращено в 1983 году.,0.0004899330336071
В каком году был опубликован основополагающий теологический текст шейкеризма «Общий обзор церкви тысячелетия»?,Основополагающий теологический текст шейкеризма «Общий обзор церкви тысячелетия» («An Abstract of the Church of the True Holy Trinity») был опубликован в 1782 году.,0.5668805135548904
Какой фермент дефицитен при болезни Тея — Сакса?,"Болезнь Тея-Сакса — это наследственное заболевание, которое связано с дефицитом фермента гексоаминидазы А (также известного как гексоаминогидролаза). Этот фермент играет важную роль в метаболизме липидов и необходим для расщепления определенного типа жирового вещества, называемого ганглиозидом GM2. При отсутствии или недостатке этого фермента происходит накопление ганглиозида GM2 в нервных клетках мозга, что приводит к их повреждению и развитию симптомов заболевания.",0.3759495248991122
В честь кого Карл Линней дал видовое название растению Кортуза Маттиоли?,Карл Линней дал видовое название растению Кортуза Маттиоли в честь итальянского ботаника и врача Пьетро Андреа Маттиоли (1682–1739).,0.1283425385496844
"Какова длина интрона, разделяющего группу из пяти сегментов Jκ и экзон Cκ в генах лёгких цепей типа κ?",Длина интрона между группой из пяти сегментов Jκ и экзоном Cκ в генах легких цепей типа κ составляет примерно 100 нуклеотидов.,0.0011616629167457
Кем в 1912 году была запрещена в России книга «На горах Кавказа»?,В 1912 году книга «На горах Кавказа» была запрещена в России решением Синода Русской православной церкви.,0.8887304334168151
"Кто, по мнению научного сотрудника Эрмитажа Дмитрия Гусева, является автором картины «Портрет юродивой Ксении Петровой»?","Дмитрий Гусев, научный сотрудник Государственного Эрмитажа, считает, что автором картины «Портрет юродивой Ксении Петровой» является художник Алексей Саврасов.",0.9740062177883252
Кому в 1987 году Кирилл Кузьмин направил 20-страничное письмо «О мерах по строительству гидроэлектростанций в СССР»?,В 1987 году Кирилл Кузьмин направил 20-страничное письмо «О мерах по строительству гидроэлектростанций в СССР» Генеральному секретарю ЦК КПСС Михаилу Сергеевичу Горбачёву.,0.0608106645967069
Кто взорвал пороховой склад в битве на горе Чегар 31 мая?,"В битве на горе Чегар 31 мая 1879 года произошёл взрыв порохового склада, который привёл к значительным потерям среди британских войск. Взрыв был вызван случайным возгоранием пороха, что привело к катастрофическим последствиям для британской армии.",0.9984796618262156
"В какой год вышла книга Томаса Мура и Джона Линдли «Папоротники Великобритании и Ирландии», иллюстрации из которой приведены в описании семейства Ужовниковые?",Книга Томаса Мура и Джона Линдли «Папоротники Великобритании и Ирландии» была опубликована в 1856 году.,0.0081538965187728
"Кто исполнил песню «A Cruel Angel's Thesis», использованную во вступительной музыкальной теме эпизода «Seele, трон для души»?",Песню «A Cruel Angel's Thesis» исполнила группа Yoko Takahashi.,0.0443618564538346
Какую оценку патриарх Фотий дал в своей «Библиотеке» произведению «Христианская топография» Козьмы Индикоплова?,"В своём труде «Библиотека» патриарх Фотий дал негативную оценку произведению «Христианская топография», написанному византийским купцом и путешественником Козьмой Индикоплевом. Фотий охарактеризовал это произведение как «глупое и невежественное». Он отметил, что автор книги был невеждой в вопросах географии и астрономии, а также проявил полное незнание Священного Писания. По мнению Фотия, книга была написана человеком, который не имел никакого представления о том, что он пишет, и поэтому её содержание было лишено всякой ценности.",0.275599776430883
Какое главное отличие Смауга из «Хоббита» от Глаурунга заключается в степени его свободы действий?,"Главное отличие между Смаугом и Глаурунгом заключается в том, что Смауг обладает большей степенью свободы действий по сравнению с Глаурунгом.",0.9733551075951058
Кто стал организатором пятого турнира «Король Железного Кулака» в игре Tekken 5?,Организатором пятого турнира «Король Железного Кулака» в игре Tekken 5 является Мисима Дзюн.,0.9616124705038694
Кто заменил Мэтта Смита в роли Доктора в сериале «Доктор Кто»?,"Мэтт Смит стал 11-м по счету актёром, исполнявшим роль Доктора в британском научно-фантастическом телесериале «Доктор Кто». Он занял эту должность после Дэвида Теннанта и до Питера Капальди.",0.0760594961997768
Какой головной убор стал основным в подразделениях британских коммандос на Ближнем Востоке?,"В 1940 году британские коммандос носили кепи с эмблемой «Котелок» и чёрным козырьком. Однако после того, как в 1942 году подразделения коммандос были выведены из состава Королевской морской пехоты, они получили право носить головные уборы, которые использовали другие части британской армии. В результате для подразделений коммандос был введён новый тип головного убора — берет. Береты стали основным головным убором британских коммандос на Ближнем Востоке.",0.9994866090713448
Кто командовал силами бригады «Гивати» при атаке на деревню Хулейкат в ночь с 19 на 20 октября в ходе операции «Йоав»?,Командующим бригадой «Гивати» во время атаки на деревню Хулейкат в ночь с 19 на 20 октября в рамках операции «Йоав» был полковник Илан Мандельблат.,0.8694992536539795
"Какой богине Дионисий, царь Гераклеи, воздвиг статую в честь смерти Александра?",Дионисий воздвиг статую в честь смерти Александра Македонского богине Афродите.,0.0887315739953366
Кого король Виктор Эммануил III назначил премьер-министром Италии после отказа подписать акт об объявлении чрезвычайного положения в октябре 1922 года?,"После того как король Виктор Эммануил III отказался подписать указ о введении чрезвычайного положения в октябре 1922 года, он назначил Бенито Муссолини на пост премьер-министра Италии.",0.0026709177158023
Какую технологию освещения использовала команда Sonic Team в игре Sonic Unleashed для повышения реалистичности картинки?,"Команда Sonic Team использовала технологию глобального освещения (Global Illumination) в игре Sonic Unleashed для повышения реалистичности картинки. Эта технология позволяет свету отражаться от поверхностей и создавать более естественные тени и освещение, что делает игровой мир более живым и реалистичным.",0.3486704415199249
На какой реке экспедиция Франклина 26 сентября 1821 года оказалась в безвыходном положении из-за отсутствия лодки и быстрого течения?,"Экспедиция сэра Джона Франклина столкнулась с трудностями на реке Коппермайн, когда их лодка была повреждена, а течение оказалось слишком быстрым для безопасного плавания.",0.9337877206065408
"Какой инструмент, приобретённый продюсером Тони Висконти, способствовал достижению инновационного звучания альбома Дэвида Боуи Low?","Инструмент, который приобрел продюсер Тони Висконти и который способствовал достижению инновационного звучания альбома Дэвида Боуи ""Low"", — это синтезатор Roland Jupiter 8. Этот синтезатор был одним из первых полифонических аналоговых синтезаторов, выпущенных компанией Roland в начале 1980-х годов. Он имел богатую палитру звуков и возможность создания сложных тембров, что позволило Висконти экспериментировать с новыми звуками и текстурами на альбоме ""Low"". Использование этого инструмента помогло создать уникальное звучание, которое стало характерным для альбома и оказало значительное влияние на развитие электронной музыки.",0.0287512667678085
Кого рецензент Миллер называл великим мастером человеческой инженерии в романе «История будущего» Роберта Хайнлайна?,В романе Роберта Хайнлайна «История будущего» рецензент Миллер называет великого мастера человеческой инженерии **Роберта Нортона Фогеля**.,0.9978278524280818
"Кто создал дизайн 20-долларовой монеты, изображающей Свободу, которую чеканили с 1850 по 1907 год?","Дизайн 20-долларовой монеты, изображающей Свободу, был создан Джеймсом Бартоном Лонгакром.",0.0039271879220086
Кто был крестным отцом принцессы Беатрисы Великобритании при её крещении 16 июня 1857 года?,Крестными родителями принцессы Беатрисы Великобритании при её крещении 16 июня 1857 года были принц Альберт Саксен-Кобург-Готский и принцесса Луиза Прусская.,0.1536739864080019
Кто дал показания перед большим жюри в Бостоне 16 июня 2011 года в рамках дела «Соединённые Штаты против Шварца»?,В деле «Соединённые Штаты против Шварца» показания перед большим жюри давал бывший сотрудник ФБР Роберт Хансен.,0.997659580205428
Из скольких сросшихся позвонков состоял крестец патагозавра?,Крестец патагозавра состоял из 5 сросшихся позвонков.,0.0551670983373489
"Какой австрийский артист стал единственным представителем жанра австропоп, добившимся крупного успеха за пределами Австрии?","Австрийский певец и автор песен Фалько является единственным представителем жанра «австропоп», который добился значительного успеха за пределами своей страны. Его песня «Rock Me Amadeus» стала международным хитом в 1985 году, достигнув первого места в чартах многих стран, включая США.",0.0316568045508833
Кто был объявлен султаном Месудом I в мае 1155 года в присутствии эмиров после прохождения церемонии джюлюс?,"В мае 1155 года султаном Месуда I был объявлен его сын, Кылыч-Арслан II.",0.0970656815245747
Каков диаметр медали «За отличие в охране общественного порядка»?,Диаметр медали «За отличие в охране общественного порядка» составляет 32 мм.,0.006479154048061
Какой механизм наследования характерен для восковидных липофусцинозов нейронов?,"## Механизм наследования восковидных липофусцинозов нейронов

Восковидные липофусцинозы нейронов — это группа заболеваний, характеризующихся накоплением липофусцина в клетках нервной системы. Эти состояния могут быть обусловлены различными генетическими факторами и имеют разные механизмы наследования.

### Основные типы наследования

1. **Аутосомно-рецессивный тип**
   - Наиболее распространённый механизм наследования для большинства форм восковидной липофусциноза нейронов. Это означает, что заболевание проявляется у лиц, унаследовавших дефектный ген от обоих родителей. Родители обычно являются носителями одного мутантного гена и не проявляют симптомов заболевания.

2. **Аутосомно-доминантный тип**
   - В некоторых случаях восковидная липофусциноза может передаваться по аутосомно-доминантному типу. При этом заболевании достаточно одной копии мутантного гена для проявления патологии. Родитель с заболеванием имеет 50% вероятность передать его потомству.

3. **Х-сцепленный тип**
   - Редко встречающийся механизм наследования, при котором мутация находится на Х-хромосоме. Этот тип чаще встречается у мужчин, так как они имеют только одну",0.1060399840017717
У кого Георгий Гапон узнал конспиративный адрес Рутенберга в Москве перед визитом 6 февраля 1906 года?,Георгий Гапон узнал конспиративный адрес Павла Рутенберга в Москве от своего знакомого по имени Михаил Иванович.,0.9977725430288518
Кого сиракузяне взяли живым в плен во время Осады Сиракуз (311—309 до н. э.)?,"Во время осады Сиракузы (311–309 гг. до н. э.) карфагеняне захватили в плен живым одного из самых выдающихся полководцев древности — Аполлодора Дамасского. Он был командующим войсками Деметрия Полиоркета и попал в плен после того, как его армия была разгромлена карфагенянами под стенами города.",0.2435541485576084
В каком году был реабилитирован лингвист Рихард Рихардович Фасмер?,Рихард Рихардович Фасмер был реабилитирован в 1956 году.,0.0023121154240805
"Куда Дороти Арнольд сообщила своей матери, что отправляется 12 декабря 1910 года?","Дороти Арнольд сообщила своей матери, что собирается отправиться в путешествие по Европе на следующий день после Рождества, то есть 25 декабря 1910 года.",0.9899745239158384
"Какие устройства, построенные на квантовой механике, используются в качестве источников света для отправки сообщений по оптоволоконным кабелям во всемирной сети?","В качестве источников света для отправки сообщений по оптоволоконным кабелям во всемирной сети используются лазеры, построенные на основе квантовой механики. Лазеры работают на принципе вынужденного излучения, когда возбужденные атомы или молекулы излучают фотоны при переходе из более высокого энергетического состояния в более низкое. Это позволяет создавать мощные и стабильные световые импульсы, которые могут передаваться по оптоволокну на большие расстояния с минимальными потерями сигнала.",0.0538822518201199
"В каком городе, названном в референсном тексте столицей рок-н-ролла, происходит действие фильма Джима Джармуша «Таинственный поезд» (1989)?","Действие фильма Джима Джармуша «Таинственный поезд» (1989) происходит в Мемфисе, штат Теннесси, США. Этот город был назван столицей рок-н-ролла из-за его значимости в истории музыки и рождения жанра.",0.4042953489219348
"В каком году был открыт бальнеологический, грязевой и климатический курорт Горячинск (Туркинские минеральные воды)?","Бальнеологический, грязевой и климатический курорт Горячинск (Туркинские минеральные воды) был открыт в 1738 году.",0.0200280087517654
Какие три фамилии являются самыми распространёнными в Корее?,"Самыми распространёнными фамилиями в Южной Корее являются Ким, Ли и Пак.",0.0006087338783644
Куда капитан U-20 Швигер направил свою субмарину в 14:25 после покидания места бедствия «Лузитании»?,"Капитан U-20 Вальтер Швигер направился к месту крушения лайнера ""Лузитания"" и атаковал его торпедой примерно в 14:25 по Гринвичу. После атаки он покинул место происшествия и продолжил свой путь на север.",0.9593572364016096
В каком году игра Mortal Kombat (2011) вышла на платформах Xbox 360 и PlayStation 3?,"Игра ""Mortal Kombat"" для платформ Xbox 360 и PlayStation 3 была выпущена в 2011 году.",0.0007101794477562
В каком сезоне Дуайт Йорк стал лучшим бомбардиром английской Премьер-лиги?,Дуайт Йорк стал лучшим бомбардиром английской Премьер-лиги в сезоне 1998/1999 годов. В том сезоне он забил 24 гола за Манчестер Юнайтед и помог команде выиграть чемпионат Англии.,0.0237709715949902
Какие две полностраничные миниатюры располагаются на развороте друг напротив друга в Гигантском кодексе?,"На развороте Гигантского кодекса расположены две полностраничные миниатюры, изображающие архангела Михаила и архангела Гавриила.",0.9980096954653632
В каком фильме 2014 года Иэн Макшейн сыграл роль Уинстона Скотта?,"Иэн Макшейн исполнил роль Уинстона Скотта в фильме «Джон Уик» («John Wick»), который вышел в 2014 году.",0.2653642274583856
В каком году ван Свитен умер?,Франц Йозеф фон Ван Свитен скончался 28 мая 1803 года.,0.0076001647387137
"В каком году, согласно Плинию Старшему, впервые были выпущены древнеримские монеты квинарии?","Согласно Плинию Старшему, первые древнеримские монеты квинарии были выпущены в 269 году до н. э.",0.0065122138034126
"В каком жанре, согласно официальным данным лейбла YG, записаны обе песни сингл-альбома «Lalisa»?","Согласно официальным данным лейбла YG, обе песни сингл-альбома «Lalisa» записаны в жанре **K-pop**.",0.8829602878524145
"Какой вирусный элемент, локализованный в 3′-нетранслируемой области, связывает факторы трансляции и комплементарно взаимодействует с 5′-концом для доставки их к месту начала трансляции у многих вирусов растений?","Вирусные элементы, которые связывают факторы трансляции и комплементарно взаимодействуют с 5'-концом мРНК для доставки их к месту начала трансляции у многих вирусов растений, называются **IRES** (Internal Ribosome Entry Site). IRES - это последовательность внутри мРНК, которая позволяет рибосоме начать трансляцию без участия факторов инициации трансляции, таких как eIF4E и eIF4G. Это особенно важно для вирусов растений, так как они часто используют альтернативные механизмы инициации трансляции из-за особенностей своей РНК генома.",0.9503119708772452
Под каким регистрационным номером стоянка Каменка 1 зарегистрирована в едином государственном реестре объектов культурного наследия народов Российской Федерации?,"### Информация о регистрации объекта «Каменка 1» в Едином государственном реестре объектов культурного наследия

Объект «Каменка 1», расположенный на территории России, зарегистрирован в Едином государственном реестре объектов культурного наследия народов Российской Федерации под следующим регистрационным номером:

**2610159000**

Этот номер подтверждает статус объекта как памятника истории и культуры регионального значения.",0.7565262643341725
"Кто выступает в роли финального босса в третьем эпизоде игры Wolfenstein 3D под названием Die, Fuhrer, Die!","В третьем эпизоде игры ""Wolfenstein 3D"" под названием ""Die, Fuhrer, Die!"" финальным боссом является Адольф Гитлер.",0.0009983682905548
Какова была максимальная устойчивая скорость ветра урагана «Билл» (2009) в момент достижения им четвёртой категории по шкале Саффира — Симпсона?,"Максимальная устойчивая скорость ветра урагана «Билл», достигшего четвёртой категории по шкале Саффира — Симпсона, составляла примерно 135 миль в час (около 217 км/ч).",0.0076486791962271
В каком году был издан труд Маршалла Маклюэна «The Gutenberg Galaxy: The Making of Typographic Man»?,Труд Маршалла Маклюэна «The Gutenberg Galaxy: The Making of Typographic Man» был издан в 1962 году.,0.0360526280238816
Какова высота высшей точки Тулвинской возвышенности в Пермском крае?,Высшая точка Тулвинской возвышенности находится на горе Сыпва и имеет высоту 718 метров над уровнем моря.,0.9265320517586896
"Какой шведский дуэт, состоящий из Мари Фредрикссон и Пера Гессле, выпустил песню «Neverending Love» в 1986 году?","Шведский музыкальный дуэт Roxette, состоящий из Мари Фредрикссон и Пера Гессле, выпустил песню «Neverending Love» в 1986 году.",0.0051336368403001
Какой принцип организации материала использовал Лиланд в своих трудах вместо алфавитного или рубричного?,Лиланд использовал принцип хронологической организации материала в своих трудах.,0.8785105237561804
"В каком году крейсер «Альмиранте Грау» (бывший «Де Рёйтер») был списан, став последним в мире лёгким крейсером?","Крейсер «Альмиранте Грау», бывший «Де Рёйтер», был списан в 1975 году, что сделало его последним в мире лёгким крейсером.",0.0488704802390153
Кто был первым командиром линейного корабля «Азов» (1826)?,"Первым командиром линейного корабля «Азов», спущенного на воду в 1826 году, был **капитан 1-го ранга Михаил Петрович Лазарев**.",0.3830928734573403
В каком году Барбара Мак-Клинток получила Нобелевскую премию по физиологии и медицине?,Барбара Мак-Клинток получила Нобелевскую премию по физиологии и медицине в 1983 году.,0.0004093769580255
Какой кратер был целью первой поездки на лунном ровере экипажа миссии «Аполлон-16»?,Кратер Слейтон был целью первой поездки на лунном ровере экипажа миссии «Аполлон-16».,0.0022442911420219
Какое шоссе символизирует скошение поля на гербе города Красногорск?,"Шоссе, которое символизирует скошенное поле на гербе города Красногорска, — это Волоколамское шоссе.",0.0603249755740566
"Кем был возглавляемый Вириатом народ, с которым воевал консул Квинт Фабий Максим Эмилиан в Дальней Испании в 145 году до н. э.?","Вириат был вождем племени лузитанов, которое проживало на территории современной Португалии и частично Испании. Лузитаны были одним из многих племен, населявших Иберийский полуостров во времена Римской империи. Они вели борьбу против римлян, которые стремились установить контроль над этой территорией. В 145 году до н.э. консул Квинт Фабий Максим Эмилиан возглавил армию, которая сражалась с лузитанами под руководством Вирията.",0.0693466296180124
